team_home,team_away,goals_home,goals_away,season,league_division
Kullervo,FC POHU/Kova Kamppi,2,3,2023,7
OT-77,Kilo IF/2,0,0,2023,7
KOPSE/CRPS FC,MoPo,1,2,2023,7
Valtti/4,LPS/7,2,1,2023,7
FC POHU/Swigu,AC StaSi/Europort,1,1,2023,7
HeKuLa,Valtti/4,1,1,2023,7
FC Lähiö,FC Pakila,3,2,2023,7
Käpylän Sekunda,FC POHU/Swigu,0,4,2023,7
MoPo,PK-35/Äijät,1,2,2023,7
FC POHU/Kova Kamppi,FC Puimur,2,2,2023,7
Kilo IF/2,Kullervo/Überkleber,2,5,2023,7
LPS/7,JJ Vepo,3,2,2023,7
Union Plaani/17,Korian Klubi/2,3,3,2025,6
HiHi,MyPa/FC,0,0,2025,6
Pelikaani,Ares -86,5,1,2025,6
Mäntsälän Urheilijat,FC Kapina/2,1,5,2025,6
HausPa,JäPS/City,5,1,2025,6
KarPo,PoPo,0,3,2025,6
NJS/2,KeiKa,1,1,2025,6
Kulps,FC Degis,0,3,2025,6
AC Rastaala,Vermo Vikings,1,1,2025,6
HJK/Kantsu 94,HPS/Jägers,4,1,2025,6
FC POHU/JäPa,FC Kontu/ST,0,2,2025,6
Töölö Tigers,StaKe FC,1,1,2025,6
